unit_id,name
3.87.29,臺中市政府交通局
3.82.33.5,新北市立淡水古蹟博物館
3.80.33.3,桃園市立大溪木藝生態博物館
3.82.15,新北市政府環境保護局
A.27.1,科技部新竹科學工業園區管理局
A.9.55.3,國立中興大學附屬高級中學
3.71.2,金門縣政府
A.17.2.4,勞動部勞動力發展署雲嘉南分署
3.79.62,臺北大眾捷運股份有限公司
3.15.86.1,臺灣港務股份有限公司基隆港務分公司
3.80.33,桃園市政府文化局
A.7.10,財政部財政資訊中心
3.79.5.25,臺北市立永春高級中學
A.17.2,勞動部勞動力發展署
3.45.4.8,行政院農業委員會林務局花蓮林區管理處
A.25.2,文化部影視及流行音樂產業局
3.45.2,行政院農業委員會漁業署
3.15.19.52,交通部臺灣鐵路管理局貨運服務總所
3.9.24,國立中央大學
3.32.82,高雄榮民總醫院
3.95.57,臺南市新營區公所
3.76.44.3.6,新竹縣政府環境保護局
3.37,行政院原子能委員會
3.15.24,交通部鐵路改建工程局
3.45.3,行政院農業委員會動植物防疫檢疫局
A.25,文化部
3.9,教育部
3.10.1.1,國立暨南國際大學附屬高級中學
3.94,客家委員會
3.13.1,經濟部國際貿易局
3.45.43,行政院農業委員會屏東農業生物技術園區籌備處
A.17.2.2,勞動部勞動力發展署桃竹苗分署
3.92.1.36,國立岡山高級中學
3.13.30.94,臺灣糖業股份有限公司精緻農業事業部
3.95.7.26,臺南市東區德高國民小學
3.97.8.57,高雄市彌陀區彌陀國民小學
3.55.3,行政院環境保護署毒物及化學物質局
3.79.7.51,臺北市中山區中正國民小學
A.21,衛生福利部
3.95.13.24,臺南市政府警察局第五分局
3.79.98.80.3,臺北市私立光仁國民小學
3.82.17.1,新北市政府市場處
3.82.7.32,新北市淡水區淡水國民小學
3.13.52.11,台灣自來水股份有限公司第十一區管理處
3.45.4,行政院農業委員會林務局
3.97.33,高雄市政府文化局
3.80.15.1,桃園市政府環境清潔稽查大隊
3.87.8.79,臺中市東勢區新成國民小學
3.79.5.10,臺北市立建國高級中學
3.76.57.96.12,基隆市立建德國民中學
3.57.1,行政院大陸委員會香港事務局
3.76.47.3.5,彰化縣環境保護局
3.7.74,臺灣菸酒股份有限公司
3.97.8.42,高雄市路竹區大社國民小學
3.79.7.14,臺北市大安區龍安國民小學
3.13.5,經濟部中小企業處
3.82.5.58,新北市立中和國民中學
3.80.57,桃園市大溪區公所
3.92.4.62,國立北門高級農工職業學校
3.15.25.15,交通部公路總局西部濱海公路南區臨時工程處
3.87.4.94,臺中市立東山高級中學
3.82.5.85,新北市立中山國民中學
3.76.53.72,屏東縣琉球鄉公所
A.25.4,國立國父紀念館
3.13.30.78,臺灣糖業股份有限公司屏東區處
3.87.58,臺中市北屯區公所
3.13.50.50,台灣中油股份有限公司探採事業部
3.11.90.30,臺灣臺東地方法院檢察署
3.82.8.28,新北市永和區永平國民小學
A.21.100.40,衛生福利部朴子醫院
3.87.4,臺中市政府教育局
A.9.55.2,國立中興大學附屬臺中高級農業職業學校
3.76.53.98.51,屏東縣獅子鄉楓林國民小學
3.97.8.16,高雄市仁武區仁武國民小學
3.76.55.61,花蓮縣秀林鄉公所
3.95.32,臺南市政府消防局
3.97.58,高雄市苓雅區公所
3.97.8.97,高雄市大寮區永芳國民小學
3.10.90.10,私立元智大學
3.45.5.9,行政院農業委員會水土保持局南投分局
3.71.5.1,連江縣南竿鄉公所
3.13.52.9,台灣自來水股份有限公司第九區管理處
3.15.12,交通部臺灣區國道新建工程局
3.97.11.1,高雄市政府工務局新建工程處
3.13.30.77,臺灣糖業股份有限公司高雄區處
3.95.76,臺南市新市區公所
3.45.4.4,行政院農業委員會林務局南投林區管理處
3.79.7.54,臺北市中山區大直國民小學
3.15.8.9,交通部觀光局大鵬灣國家風景區管理處
3.13.32.45,台灣電力股份有限公司綜合研究所
3.92.5.1,國立基隆高級商工職業學校
3.95.13,臺南市政府警察局
3.82.6.6,新北市立崇林國民中學
3.7.74.37,臺灣菸酒股份有限公司隆田酒廠
A.17.5,勞動部勞動及職業安全衛生研究所
3.82.7.55,新北市瑞芳區九份國民小學
3.15.26,交通部航港局
3.7.74.36,臺灣菸酒股份有限公司嘉義酒廠
3.76.48.96.28,南投縣立同富國民中學
3.47.2,中央造幣廠
3.82.8.7,新北市林口區興福國民小學
3.76.48.63,南投縣仁愛鄉公所
3.76.44.96.26,新竹縣立仁愛國民中學
3.95.80,臺南市楠西區公所
3.82.52,新北市三重區公所
3.97.74,高雄市田寮區公所
3.9.27,國立中興大學
A.7.8.4,財政部關務署高雄關
3.76.49.97.92,雲林縣崙背鄉豐榮國民小學
3.95.83,臺南市仁德區公所
3.76.47.51,彰化縣彰化市公所
3.76.47.96.9,彰化縣立鹿港國民中學
3.97.5.31,高雄市立高雄高級工業職業學校
19275204,明道學校財團法人明道大學
A.25.8,國立臺灣工藝研究發展中心
3.80.7.40,桃園市中壢區林森國民小學
3.97.13.2,高雄市政府警察局刑事警察大隊
3.10.94.24XX,樹人醫護管理專科學校
3.13.32.15.10,台灣電力股份有限公司核能火力發電工程處深澳施工處
3.76.56,澎湖縣政府
3.76.49.70,雲林縣水林鄉公所
3.76.58.96.9,新竹巿立富禮國民中學
03795502,台灣電力工會
3.5.90,中正國防幹部預備學校
3.13.50.41.4,台灣中油股份有限公司油品行銷事業部台中營業處
3.92.5.66,國立成功商業水產職業學校
3.97.5.54,高雄市立苓雅國民中學
3.9.38,國立東華大學
3.92.4.55,國立西螺高級農工職業學校
40400002,臺灣宜蘭農田水利會
3.10.99.78,吳鳳學校財團法人吳鳳科技大學
3.95.8.58,臺南市鹽水區鹽水國民小學
3.82.33.1,新北市立鶯歌陶瓷博物館
3.76.48.51,南投縣南投市公所
3.13.52.10,台灣自來水股份有限公司第十區管理處
3.82.8.3,新北市林口區林口國民小學
3.97.52,高雄市鼓山區公所
3.82.75,新北市烏來區公所
3.10.94.18,私立仁德醫護管理專科學校
3.92.1.34,國立新化高級中學
3.97.86,高雄市茂林區公所
3.13.52.8,台灣自來水股份有限公司第八區管理處
3.97.8.7,高雄市大樹區大樹國民小學
3.87.7.36,臺中市北屯區仁愛國民小學
3.82.7.82,新北市深坑區深坑國民小學
38201203,新北市私立莊敬高級工業家事職業學校
